"PCB.cir","Reference Designator","LMS-Number","SAP-Number","Usage","Status","Value","Parttype","Ex component","Cluster test","Package_tech","VariantenManagment","Package Name","Description"
"","reference","partName","partNumber","Traffic_Light","Status","Value","Parttype","Ex_component","Cluster_test","Package_tech","variation","packageName","Description"
"1.cmp17","C1","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp19","C2","LMS-005465","71196101","green","","100u","","","","S","","SMD_C_POL_L10.5W10.5H10.5","SMD-ELKO      100U 50V 105C 20% 5000h"
"1.cmp32","C4","LMS-004288","71140709","yellow","U","100u","","","","S","","SMD_C_POL_L8.5W8.5H10.5","SMD-ELKO-SNT 100U  50V  105C 20% 2000h!"
"1.cmp27","C5","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp84","C6","LMS-005205","71164020","green","","27p","","","","S","","SMD_0603_H0.9","SMD-Kond-Ker   27p  50V   1%  NP0  603"
"1.cmp83","C7","LMS-005205","71164020","green","","27p","","","","S","","SMD_0603_H0.9","SMD-Kond-Ker   27p  50V   1%  NP0  603"
"1.cmp79","C8","LMS-002454","71069467","green","","10n","","","","S","","SMD_0805_H1.4","SMD-KOND-KER   10n   50V  5%  NPO 0805"
"1.cmp98","C9","LMS-005473","71196111","green","","22u","","","","S","","SMD_C_POL_L6.8W6.8H6.1","SMD-ELKO       22U  35V 105C 20% 5000h"
"1.cmp99","C10","LMS-005455","71195854","green","","33p","","","","S","","SMD_0402_H0.6","SMD-Kond-Ker  33p  50V  5%  NP0  0402"
"1.cmp100","C11","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp101","C12","LMS-005465","71196101","green","","100u","","","","S","","SMD_C_POL_L10.5W10.5H10.5","SMD-ELKO      100U 50V 105C 20% 5000h"
"1.cmp130","C13","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp131","C14","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp159","C15","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp473","C37","LMS-005476","71196114","green","","47u","","","","S","","SMD_C_POL_L8.5W8.5H10.5","SMD-ELKO       47U  35V 105C 20% 5000h"
"1.cmp482","C38","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp483","C39","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp484","C40","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
