"PCB.cir","Reference Designator","LMS-Number","SAP-Number","Usage","Status","Value","Parttype","Ex component","Cluster test","Package_tech","VariantenManagment","Package Name","Description"
"","reference","partName","partNumber","Traffic_Light","Status","Value","Parttype","Ex_component","Cluster_test","Package_tech","variation","packageName","Description"
"1.cmp5","C1","LMS-005465","71196101","green","","100u","","","","S","","SMD_C_POL_L10.5W10.5H10.5","SMD-ELKO      100U 50V 105C 20% 5000h"
"1.cmp11","C2","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp1285","C4","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp1275","C5","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp1294","C6","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp1274","C7","LMS-001886","71078950","green","","100u","","","","S","","SMD_6032_H2.8","SMD-TANTAL-C   100U   10V   10%   6032"
"1.cmp1302","C8","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp1284","C9","LMS-001886","71078950","green","","100u","","","","S","","SMD_6032_H2.8","SMD-TANTAL-C   100U   10V   10%   6032"
"1.cmp1272","C10","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp1292","C11","LMS-001886","71078950","green","","100u","","","","S","","SMD_6032_H2.8","SMD-TANTAL-C   100U   10V   10%   6032"
"1.cmp1124","C12","LMS-002454","71069467","green","","10n","","","","S","","SMD_0805_H1.4","SMD-KOND-KER   10n   50V  5%  NPO 0805"
"1.cmp1128","C13","LMS-003729","71137657","green","","1n","","","","S","","SMD_0603_H0.9","SMD-Kond-Ker    1n   50V 5%  NP0  603"
"1.cmp1331","C14","LMS-002454","71069467","green","","10n","","","","S","","SMD_0805_H1.4","SMD-KOND-KER   10n   50V  5%  NPO 0805"
"1.cmp1335","C15","LMS-005205","71164020","green","","27p","","","","S","","SMD_0603_H0.9","SMD-Kond-Ker   27p  50V   1%  NP0  603"
"1.cmp1336","C16","LMS-005205","71164020","green","","27p","","","","S","","SMD_0603_H0.9","SMD-Kond-Ker   27p  50V   1%  NP0  603"
"1.cmp1286","C17","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp1270","C18","LMS-001886","71078950","green","","100u","","","","S","","SMD_6032_H2.8","SMD-TANTAL-C   100U   10V   10%   6032"
"1.cmp1277","C19","LMS-000100","50092748","green","","100n","","","","S","","SMD_0603_H0.9","SMD-KOND-KER  100n   50V 10%  X7R  603"
"1.cmp1626","C20","LMS-001886","71078950","green","","100u","","","","S","","SMD_6032_H2.8","SMD-TANTAL-C   100U   10V   10%   6032"
